                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.79221,                0.56352,                 1.0373,                0.98054,                0.97542,                0.99306,                0.85023,                0.64932,                0.38845,                0.91454,             0.00050254,             0.00050254,             0.00050254
                     37,                 0.7736,                0.56068,                 1.0227,                0.98827,                0.96702,                0.99091,                0.85638,                0.62853,                 0.3855,                0.91058,             0.00049493,             0.00049493,             0.00049493
                     38,                0.76681,                0.54515,                 1.0063,                0.98602,                0.99365,                  0.995,                0.84037,                 0.6662,                0.36073,                0.93702,             0.00048732,             0.00048732,             0.00048732
                     39,                0.76444,                0.53219,                 1.0231,                0.98843,                0.99389,                  0.995,                0.84495,                0.65134,                0.35839,                0.91393,              0.0004797,              0.0004797,              0.0004797
                     40,                0.76028,                0.52495,                 1.0067,                0.97757,                0.97269,                0.98625,                0.83795,                0.69171,                  0.387,                0.93943,             0.00047209,             0.00047209,             0.00047209
                     41,                0.72372,                0.52051,                0.99959,                0.97626,                0.97184,                0.98356,                0.84599,                0.65837,                0.36095,                0.92785,             0.00046448,             0.00046448,             0.00046448
                     42,                0.71629,                0.50007,                 1.0013,                0.97407,                 0.9638,                0.98573,                0.82849,                 0.6981,                0.41224,                0.93765,             0.00045686,             0.00045686,             0.00045686
                     43,                0.73787,                 0.5097,                 1.0007,                0.98556,                0.98334,                0.98677,                0.83525,                0.68127,                0.38702,                0.92888,             0.00044925,             0.00044925,             0.00044925
                     44,                0.71353,                0.49393,                0.99764,                 0.9821,                0.98391,                0.98696,                0.84383,                0.66655,                0.36928,                0.92536,             0.00044164,             0.00044164,             0.00044164
                     45,                0.73574,                0.49844,                 1.0075,                0.97738,                0.98769,                0.98667,                0.84792,                0.67052,                0.37654,                0.93235,             0.00043402,             0.00043402,             0.00043402
                     46,                0.73802,                0.49724,                 1.0151,                0.97304,                0.99865,                  0.995,                0.84391,                0.68985,                0.36026,                0.94244,             0.00042641,             0.00042641,             0.00042641
                     47,                0.72609,                0.49568,                0.99129,                0.97693,                0.98226,                0.99346,                0.84467,                0.63664,                0.36364,                0.90114,              0.0004188,              0.0004188,              0.0004188
                     48,                0.70779,                0.47283,                0.99454,                0.97637,                 0.9893,                0.99417,                0.86745,                0.62056,                0.34142,                0.90319,             0.00041118,             0.00041118,             0.00041118
                     49,                0.68643,                0.46471,                0.96291,                0.99037,                0.98849,                  0.995,                0.84976,                0.62428,                0.34351,                0.91512,             0.00040357,             0.00040357,             0.00040357
                     50,                0.69288,                0.47365,                 0.9876,                0.96096,                0.98252,                0.98551,                  0.836,                0.65205,                 0.4116,                0.93113,             0.00039596,             0.00039596,             0.00039596
                     51,                0.69061,                0.45657,                0.96736,                0.97333,                 0.9881,                0.99417,                0.85975,                0.60484,                0.32009,                0.90368,             0.00038835,             0.00038835,             0.00038835
                     52,                0.67124,                0.44993,                0.97466,                0.97857,                0.97718,                0.98445,                0.84225,                0.65905,                0.38131,                0.93258,             0.00038073,             0.00038073,             0.00038073
                     53,                0.67069,                0.42877,                0.98178,                0.97899,                 0.9677,                 0.9875,                0.86397,                0.61976,                0.33147,                0.90823,             0.00037312,             0.00037312,             0.00037312
                     54,                0.65425,                0.43907,                0.94848,                   0.99,                0.96903,                0.99417,                0.86523,                0.59805,                0.32486,                0.90167,             0.00036551,             0.00036551,             0.00036551
                     55,                0.67334,                 0.4825,                0.97806,                0.97245,                0.97326,                0.98756,                0.85685,                0.63543,                0.37433,                0.92389,             0.00035789,             0.00035789,             0.00035789
                     56,                0.63657,                0.41835,                0.94885,                0.98799,                0.99111,                  0.995,                0.86781,                0.62795,                0.33604,                0.90563,             0.00035028,             0.00035028,             0.00035028
                     57,                0.65916,                0.45289,                0.97466,                0.97578,                0.96693,                0.98365,                0.85818,                 0.6142,                0.36546,                0.90127,             0.00034267,             0.00034267,             0.00034267
                     58,                0.66733,                0.42929,                0.97603,                0.96569,                0.98231,                 0.9925,                0.86284,                0.59691,                0.33669,                0.89276,             0.00033505,             0.00033505,             0.00033505
                     59,                0.63666,                0.42268,                0.94315,                0.98373,                0.97257,                0.99417,                0.85557,                0.62354,                0.37394,                0.91683,             0.00032744,             0.00032744,             0.00032744
                     60,                0.63422,                0.41607,                0.95977,                0.98202,                0.96781,                0.98696,                0.84914,                 0.6381,                0.33714,                0.91727,             0.00031983,             0.00031983,             0.00031983
                     61,                0.63095,                 0.4139,                0.95963,                0.98788,                0.97043,                0.99346,                0.86728,                0.58566,                0.31221,                0.89525,             0.00031221,             0.00031221,             0.00031221
                     62,                0.63781,                0.42106,                0.95324,                0.98037,                0.96253,                 0.9905,                0.85341,                0.61999,                0.34304,                0.91397,              0.0003046,              0.0003046,              0.0003046
                     63,                0.63232,                0.41028,                0.95918,                0.97937,                0.98066,                0.98789,                0.84792,                0.65005,                 0.3393,                0.92624,             0.00029699,             0.00029699,             0.00029699
                     64,                 0.6386,                0.41033,                0.96658,                0.97332,                0.99539,                0.99417,                0.86534,                 0.6185,                0.32473,                0.90785,             0.00028937,             0.00028937,             0.00028937
                     65,                0.61588,                0.41378,                0.96092,                 0.9708,                0.96196,                0.97798,                0.85648,                0.61818,                0.33456,                0.91878,             0.00028176,             0.00028176,             0.00028176
                     66,                0.61094,                0.39921,                0.94784,                0.98751,                 0.9924,                  0.995,                0.84995,                0.63643,                0.31525,                0.92953,             0.00027415,             0.00027415,             0.00027415
                     67,                0.62513,                0.38906,                0.95426,                0.98709,                0.97895,                0.98628,                0.84418,                0.64729,                0.31586,                0.93401,             0.00026654,             0.00026654,             0.00026654
                     68,                0.61281,                0.39289,                0.95025,                0.97929,                0.97124,                0.98458,                0.87042,                0.62104,                0.31554,                0.92996,             0.00025892,             0.00025892,             0.00025892
                     69,                0.60744,                0.39444,                0.96187,                0.99118,                0.97955,                0.98739,                0.87113,                0.61253,                 0.3149,                0.91874,             0.00025131,             0.00025131,             0.00025131
                     70,                0.61175,                0.39324,                0.95268,                0.98443,                0.97162,                0.98526,                0.85278,                0.61257,                0.30005,                0.92172,              0.0002437,              0.0002437,              0.0002437
                     71,                  0.607,                0.39103,                0.93834,                0.98372,                0.97924,                 0.9875,                0.86687,                0.61704,                 0.3113,                0.91365,             0.00023608,             0.00023608,             0.00023608
                     72,                0.58106,                0.37279,                0.92612,                0.97814,                 0.9808,                0.98867,                  0.858,                0.64181,                0.30354,                0.92914,             0.00022847,             0.00022847,             0.00022847
                     73,                0.61441,                0.38859,                0.94857,                0.97698,                0.98655,                0.98496,                0.86051,                0.62587,                0.29656,                0.91964,             0.00022086,             0.00022086,             0.00022086
                     74,                0.58104,                 0.3732,                 0.9384,                0.97597,                0.98369,                0.98659,                0.86518,                0.60649,                0.28826,                 0.9109,             0.00021324,             0.00021324,             0.00021324
                     75,                0.58086,                 0.3775,                0.94234,                0.98874,                0.97963,                0.98554,                0.84189,                0.67538,                 0.3223,                0.93505,             0.00020563,             0.00020563,             0.00020563
                     76,                0.58156,                 0.3763,                0.94075,                0.98886,                0.98803,                0.98672,                0.87064,                0.59865,                0.29912,                0.91303,             0.00019802,             0.00019802,             0.00019802
                     77,                0.57001,                0.37634,                0.93167,                 0.9883,                0.98279,                0.98604,                0.86437,                0.59196,                0.29144,                0.90956,              0.0001904,              0.0001904,              0.0001904
                     78,                0.59197,                0.37282,                0.94169,                0.99072,                0.98298,                0.98677,                0.85792,                0.62197,                0.28506,                0.91499,             0.00018279,             0.00018279,             0.00018279
                     79,                0.57024,                0.36152,                0.93273,                0.98923,                0.98015,                0.98645,                0.87373,                0.59467,                0.28662,                0.90907,             0.00017518,             0.00017518,             0.00017518
                     80,                0.55437,                0.36285,                0.93688,                0.98794,                0.99615,                  0.995,                0.86384,                0.59584,                0.28972,                0.90921,             0.00016757,             0.00016757,             0.00016757
                     81,                0.55776,                  0.358,                0.92452,                0.98773,                0.99772,                  0.995,                0.86335,                0.60423,                  0.299,                 0.9227,             0.00015995,             0.00015995,             0.00015995
                     82,                0.55834,                0.35501,                0.92409,                 0.9839,                0.99609,                  0.995,                0.87515,                0.58981,                0.28173,                0.91025,             0.00015234,             0.00015234,             0.00015234
                     83,                0.58751,                0.36151,                0.95335,                 0.9856,                0.99112,                  0.995,                0.87061,                0.58166,                0.27615,                0.90578,             0.00014473,             0.00014473,             0.00014473
                     84,                0.55015,                0.34899,                 0.9363,                0.98485,                0.99384,                  0.995,                0.86951,                0.59795,                0.28192,                0.91041,             0.00013711,             0.00013711,             0.00013711
                     85,                 0.5585,                0.35292,                0.92374,                 0.9852,                0.99181,                  0.995,                0.87916,                0.58617,                0.28463,                0.90744,              0.0001295,              0.0001295,              0.0001295
                     86,                0.54251,                0.35015,                0.92916,                0.98595,                0.99815,                  0.995,                0.87405,                0.59279,                0.27499,                0.90897,             0.00012189,             0.00012189,             0.00012189
                     87,                0.55224,                0.35514,                0.93137,                0.98851,                0.99898,                  0.995,                0.87102,                0.60102,                0.27079,                0.91568,             0.00011427,             0.00011427,             0.00011427
                     88,                0.52771,                0.35085,                0.92016,                0.98602,                0.99504,                  0.995,                0.87064,                0.58657,                0.28779,                0.91113,             0.00010666,             0.00010666,             0.00010666
                     89,                0.52771,                  0.347,                0.91843,                0.98504,                0.99359,                  0.995,                0.86624,                0.60096,                0.29149,                0.91325,             9.9047e-05,             9.9047e-05,             9.9047e-05
                     90,                0.52524,                0.34185,                0.92121,                0.98748,                 0.9936,                  0.995,                0.87329,                0.59084,                0.27338,                0.91365,             9.1434e-05,             9.1434e-05,             9.1434e-05
                     91,                0.47552,                0.27778,                0.90152,                0.98827,                0.98839,                  0.995,                0.86273,                0.58425,                0.27332,                0.91791,             8.3821e-05,             8.3821e-05,             8.3821e-05
                     92,                0.47487,                0.27796,                0.91846,                0.99033,                0.98313,                  0.995,                0.86924,                0.58383,                0.27751,                 0.9174,             7.6208e-05,             7.6208e-05,             7.6208e-05
                     93,                0.47782,                0.27263,                0.89992,                0.98491,                 0.9913,                  0.995,                0.87157,                0.57595,                0.27298,                0.91656,             6.8595e-05,             6.8595e-05,             6.8595e-05
                     94,                0.45175,                0.26145,                0.88449,                0.98993,                0.99265,                  0.995,                0.87036,                0.56666,                0.26993,                0.90813,             6.0982e-05,             6.0982e-05,             6.0982e-05
                     95,                0.44358,                0.26257,                0.88256,                0.98913,                0.99704,                  0.995,                  0.876,                0.57736,                0.26607,                0.91472,             5.3369e-05,             5.3369e-05,             5.3369e-05
                     96,                0.44998,                0.26878,                0.90598,                 0.9893,                0.99741,                  0.995,                0.87351,                0.57595,                 0.2705,                0.91939,             4.5756e-05,             4.5756e-05,             4.5756e-05
                     97,                0.44206,                0.26452,                0.90152,                0.98771,                0.99536,                  0.995,                0.87135,                0.57744,                0.27798,                0.91501,             3.8142e-05,             3.8142e-05,             3.8142e-05
                     98,                0.43393,                0.25687,                0.88661,                0.98887,                0.99371,                  0.995,                0.86936,                0.57448,                0.27223,                0.91426,             3.0529e-05,             3.0529e-05,             3.0529e-05
                     99,                0.43986,                0.27795,                0.88566,                0.98979,                0.99333,                  0.995,                0.86925,                0.57043,                0.26613,                0.91325,             2.2916e-05,             2.2916e-05,             2.2916e-05
                    100,                0.43181,                 0.2559,                0.88292,                0.98923,                0.99363,                  0.995,                0.86908,                0.57036,                0.26642,                0.91384,             1.5303e-05,             1.5303e-05,             1.5303e-05
